"eeg0","eeg1","eeg2","eeg3"
-0.48828125,-0.48828125,0.0,-0.48828125
-0.48828125,-0.9765625,-15.625,-0.48828125
30.76171875,31.73828125,41.50390625,30.76171875
-67.87109375,-69.82421875,-49.31640625,-67.87109375
320.80078125,316.89453125,9.27734375,321.2890625
-857.91015625,-875.0,801.26953125,-856.93359375
243.65234375,216.796875,984.86328125,244.140625
-1000.0,-1000.0,863.28125,-1000.0
-273.92578125,-672.36328125,910.64453125,-274.90234375
-807.6171875,922.36328125,901.3671875,-823.2421875
466.30859375,535.15625,898.92578125,582.51953125
-1000.0,-991.2109375,866.69921875,-1000.0
-487.3046875,-1000.0,839.35546875,-648.92578125
-975.09765625,342.28515625,849.12109375,908.69140625
955.078125,-975.5859375,857.91015625,-911.62109375
-545.8984375,-394.53125,814.94140625,-285.64453125
-1000.0,-1000.0,729.98046875,-1000.0
473.14453125,-125.48828125,756.34765625,182.6171875
-786.62109375,-822.265625,830.078125,-757.32421875
52.734375,130.859375,725.09765625,190.4296875
-1000.0,-1000.0,496.58203125,-1000.0
-118.1640625,-320.3125,483.3984375,-268.5546875
-770.99609375,-837.890625,616.69921875,-796.38671875
212.890625,313.96484375,705.078125,277.83203125
-1000.0,-1000.0,365.234375,-1000.0
-274.90234375,-667.96875,-84.9609375,-342.7734375
-821.2890625,902.34375,214.35546875,-870.1171875
571.77734375,738.28125,552.24609375,713.37890625
-1000.0,-798.33984375,219.23828125,-907.71484375
-602.05078125,-1000.0,-317.3828125,-809.08203125
938.96484375,265.13671875,-174.8046875,748.046875
-926.7578125,-865.234375,358.3984375,-848.14453125
-324.21875,-161.1328125,167.48046875,-150.390625
-1000.0,-1000.0,-498.046875,-1000.0
285.15625,-159.1796875,-541.015625,69.3359375
-761.71875,-808.10546875,-100.5859375,-757.32421875
174.8046875,203.125,-60.05859375,197.75390625
-1000.0,-1000.0,-546.875,-1000.0
-239.2578125,-369.140625,-687.01171875,-272.94921875
-787.109375,-853.515625,-365.72265625,-800.78125
249.0234375,414.0625,-148.4375,377.44140625
-1000.0,-1000.0,-493.1640625,-1000.0
-273.4375,-784.66796875,-692.87109375,-437.5
-846.19140625,759.27734375,-352.5390625,-934.5703125
694.82421875,893.06640625,-172.36328125,859.86328125
-937.98828125,-610.83984375,-494.62890625,-706.0546875
-718.75,-1000.0,-787.109375,-950.68359375
849.12109375,140.13671875,-648.4375,584.47265625
-869.62890625,-824.70703125,-364.74609375,-810.05859375
-175.78125,-16.11328125,-434.08203125,-35.64453125
-1000.0,-1000.0,-787.59765625,-1000.0
124.0234375,-203.61328125,-729.4921875,-62.5
-754.39453125,-807.6171875,-451.66015625,-760.25390625
192.87109375,231.93359375,-361.328125,190.91796875
-1000.0,-1000.0,-652.83203125,-1000.0
-273.4375,-440.4296875,-748.53515625,-186.5234375
-798.33984375,-893.06640625,-524.90234375,-822.265625
367.1875,515.625,-420.41015625,497.55859375
-1000.0,-1000.0,-648.92578125,-1000.0
-374.51171875,-881.34765625,-771.484375,-544.921875
-903.80859375,627.9296875,-659.1796875,992.1875
832.51953125,989.2578125,-335.9375,986.328125
-746.58203125,-460.44921875,-380.37109375,-485.83984375
-885.25390625,-1000.0,-812.01171875,-1000.0
668.45703125,14.16015625,-704.58984375,367.1875
-821.77734375,-806.15234375,-376.953125,-776.3671875
-58.59375,94.23828125,-452.63671875,78.61328125
-1000.0,-1000.0,-816.40625,-1000.0
9.27734375,-246.58203125,-752.9296875,-187.98828125
-758.30078125,-811.5234375,-531.25,-784.66796875
201.171875,282.2265625,-536.1328125,222.16796875
-1000.0,-1000.0,-756.8359375,-1000.0
-275.87890625,-526.85546875,-795.41015625,-272.94921875
-808.59375,-961.9140625,-580.078125,-823.73046875
473.14453125,639.6484375,-433.59375,588.37890625
-1000.0,-925.78125,-652.34375,-1000.0
-497.55859375,-948.2421875,-813.4765625,-649.4140625
-981.4453125,526.85546875,-599.12109375,907.2265625
963.37890625,-929.6875,-370.1171875,-906.25
-538.0859375,-293.9453125,-530.76171875,-282.71484375
-1000.0,-1000.0,-778.80859375,-1000.0
476.07421875,-98.6328125,-590.33203125,206.0546875
-785.64453125,-805.6640625,-424.8046875,-756.8359375
60.05859375,165.52734375,-556.15234375,188.96484375
-1000.0,-1000.0,-792.96875,-1000.0
-116.69921875,-302.24609375,-771.484375,-268.5546875
-769.53125,-826.171875,-541.015625,-795.8984375
212.40234375,347.16796875,-510.25390625,273.4375
-1000.0,-1000.0,-734.375,-1000.0
-274.90234375,-640.13671875,-781.25,-327.63671875
-821.2890625,929.19921875,-595.703125,-867.1875
573.2421875,766.11328125,-470.21484375,719.23828125
-1000.0,-767.578125,-661.1328125,-895.99609375
-602.5390625,-1000.0,-841.796875,-816.89453125
938.4765625,295.41015625,-664.55078125,741.2109375
-923.828125,-855.95703125,-406.73828125,-848.14453125
-319.3359375,-140.625,-566.89453125,-146.97265625
-1000.0,-1000.0,-833.0078125,-1000.0
283.203125,-151.85546875,-728.515625,50.29296875
-761.23046875,-805.17578125,-501.46484375,-759.27734375
181.640625,201.66015625,-327.63671875,199.70703125
-1000.0,-1000.0,-602.05078125,-1000.0
-241.69921875,-366.2109375,-787.59765625,-272.94921875
-788.0859375,-852.5390625,-528.80859375,-802.24609375
251.953125,419.921875,-481.93359375,385.25390625
-1000.0,-1000.0,-729.4921875,-1000.0
-288.57421875,-775.390625,-824.70703125,-458.0078125
-851.5625,769.53125,-641.11328125,-942.3828125
698.2421875,897.4609375,-506.34765625,863.76953125
-934.08203125,-601.5625,-649.90234375,-697.265625
-732.421875,-1000.0,-808.59375,-975.5859375
859.375,164.0625,-690.4296875,577.1484375
-923.828125,-875.48828125,-473.14453125,-863.76953125
-258.7890625,-90.8203125,-534.1796875,-122.55859375
-1000.0,-1000.0,-791.9921875,-1000.0
118.65234375,-204.1015625,-749.51171875,-72.265625
-756.34765625,-809.08203125,-522.4609375,-771.484375
193.359375,239.2578125,-530.76171875,210.9375
-1000.0,-1000.0,-781.25,-1000.0
-273.4375,-455.56640625,-717.28515625,-274.90234375
-798.828125,-901.85546875,-495.60546875,-812.01171875
369.62890625,524.4140625,-519.04296875,501.953125
-1000.0,-1000.0,-715.8203125,-1000.0
-378.90625,-882.8125,-827.63671875,-548.828125
-907.71484375,619.140625,-637.6953125,990.72265625
842.28515625,-991.2109375,-389.16015625,987.79296875
-734.86328125,-431.640625,-560.05859375,-484.86328125
-887.20703125,-1000.0,-819.3359375,-1000.0
667.96875,10.7421875,-691.89453125,369.62890625
-821.77734375,-805.17578125,-501.953125,-776.85546875
-54.19921875,101.07421875,-577.1484375,79.1015625
-1000.0,-1000.0,-814.453125,-1000.0
-0.9765625,-251.46484375,-760.25390625,-195.3125
-759.27734375,-812.5,-542.48046875,-786.1328125
202.1484375,283.203125,-510.25390625,223.14453125
-1000.0,-1000.0,-749.0234375,-1000.0
-277.34375,-536.1328125,-792.48046875,-274.4140625
-801.7578125,-964.84375,-571.77734375,-818.359375
458.0078125,625.9765625,-282.71484375,580.56640625
-1000.0,-909.1796875,-466.796875,-989.2578125
-405.2734375,-972.65625,-834.47265625,-559.5703125
-993.65234375,454.58984375,-655.2734375,896.484375
973.14453125,-905.2734375,-487.79296875,-899.90234375
-519.53125,-267.578125,-629.39453125,-253.90625
-1000.0,-1000.0,-829.58984375,-1000.0
474.609375,-91.30859375,-720.703125,160.64453125
-778.80859375,-796.875,-497.55859375,-749.0234375
42.96875,145.99609375,-559.5703125,172.36328125
-1000.0,-1000.0,-804.6875,-1000.0
-35.15625,-222.16796875,-738.76953125,-180.6640625
-781.73828125,-839.84375,-472.65625,-807.12890625
217.7734375,347.65625,-416.50390625,288.0859375
-1000.0,-1000.0,-709.9609375,-1000.0
-237.79296875,-628.90625,-815.4296875,-306.640625
-927.734375,873.046875,-617.67578125,-976.07421875
396.97265625,681.15234375,-445.80078125,528.3203125
266.6015625,430.6640625,-505.37109375,-874.0234375
-1000.0,-1000.0,-736.81640625,-804.6875
-282.2265625,-770.99609375,-803.7109375,744.62890625
-849.609375,773.4375,-593.26171875,-850.09765625
707.03125,906.73828125,-465.8203125,-145.5078125
-923.33984375,-590.33203125,-618.65234375,-1000.0
-730.46875,-1000.0,-802.24609375,42.48046875
836.9140625,144.04296875,-723.6328125,-760.25390625
-865.234375,-823.73046875,-426.7578125,200.68359375
-166.015625,-11.23046875,-432.12890625,-1000.0
-1000.0,-1000.0,-802.24609375,-273.4375
119.62890625,-204.58984375,-800.78125,-802.24609375
-753.90625,-807.12890625,-452.1484375,-769.04296875
192.87109375,235.3515625,-267.08984375,210.44921875
-1000.0,-1000.0,-678.7109375,-1000.0
-273.92578125,-441.89453125,-845.703125,-274.90234375
-799.31640625,-894.53125,-490.234375,-812.01171875
380.37109375,522.94921875,-223.14453125,507.32421875
-1000.0,-1000.0,-583.984375,-1000.0
-391.11328125,-887.20703125,-861.81640625,-554.19921875
-914.55078125,607.421875,-546.38671875,989.2578125
854.4921875,-980.46875,-286.1328125,987.3046875
-719.7265625,-412.109375,-602.5390625,-476.5625
-893.5546875,-1000.0,-869.62890625,-1000.0
659.66796875,2.9296875,-615.72265625,333.0078125
-817.87109375,-804.19921875,-359.375,-772.94921875
-41.015625,110.83984375,-596.19140625,82.03125
-1000.0,-1000.0,-840.8203125,-1000.0
-2.44140625,-259.27734375,-692.3828125,-185.05859375
-758.30078125,-813.96484375,-443.359375,-783.203125
202.63671875,288.0859375,-499.0234375,221.6796875
-1000.0,-1000.0,-741.2109375,-1000.0
-275.87890625,-553.22265625,-739.74609375,-272.94921875
-810.05859375,-982.91015625,-570.3125,-825.1953125
485.83984375,654.78515625,-528.3203125,597.16796875
-1000.0,-896.97265625,-678.22265625,-1000.0
-505.859375,-997.55859375,-765.625,-671.875
-988.76953125,443.359375,-686.03515625,885.25390625
979.00390625,-899.90234375,-545.41015625,-895.01953125
-512.6953125,-255.37109375,-599.609375,-255.37109375
-1000.0,-1000.0,-751.46484375,-1000.0
464.35546875,-94.7265625,-716.796875,153.3203125
-783.203125,-803.22265625,-505.859375,-756.8359375
72.75390625,170.41015625,-490.234375,191.89453125
-1000.0,-1000.0,-742.1875,-1000.0
-132.32421875,-308.10546875,-805.17578125,-269.53125
-771.484375,-828.125,-603.02734375,-796.38671875
214.35546875,343.75,-423.828125,298.828125
-1000.0,-1000.0,-627.9296875,-1000.0
-274.4140625,-649.4140625,-839.84375,-351.07421875
-823.2421875,917.96875,-663.0859375,-876.953125
585.44921875,770.5078125,-342.7734375,739.2578125
-1000.0,-763.18359375,-500.0,-866.2109375
-610.83984375,-1000.0,-855.95703125,-857.91015625
929.6875,287.109375,-679.19921875,696.77734375
-909.66796875,-846.19140625,-295.8984375,-841.796875
-288.57421875,-107.91015625,-448.73046875,-145.99609375
-1000.0,-1000.0,-891.11328125,-1000.0
260.25390625,-159.66796875,-726.07421875,31.25
-759.27734375,-804.19921875,-330.56640625,-761.71875
185.546875,210.44921875,-470.21484375,201.66015625
-1000.0,-1000.0,-857.91015625,-1000.0
-252.9296875,-377.9296875,-767.578125,-273.4375
-790.52734375,-856.93359375,-436.5234375,-802.24609375
269.04296875,431.15234375,-435.546875,402.34375
-1000.0,-1000.0,-748.046875,-1000.0
-294.921875,-796.38671875,-771.97265625,-455.078125
-856.93359375,738.28125,-573.73046875,-942.3828125
718.26171875,922.8515625,-531.25,875.0
-909.66796875,-568.359375,-701.66015625,-685.546875
-747.55859375,-1000.0,-773.4375,-961.9140625
818.359375,112.79296875,-625.0,570.80078125
-859.375,-813.96484375,-551.26953125,-808.59375
-155.2734375,25.87890625,-643.06640625,-27.83203125
-1000.0,-1000.0,-754.39453125,-1000.0
111.328125,-207.51953125,-702.1484375,-84.47265625
-753.90625,-805.17578125,-569.82421875,-763.671875
193.359375,242.67578125,-529.78515625,193.359375
-1000.0,-1000.0,-711.9140625,-1000.0
-273.92578125,-452.1484375,-739.2578125,-186.5234375
-800.29296875,-899.90234375,-624.51171875,-823.73046875
389.16015625,533.69140625,-527.83203125,514.16015625
-1000.0,-1000.0,-651.85546875,-1000.0
-398.92578125,-895.99609375,-826.66015625,-556.15234375
-916.9921875,603.515625,-709.9609375,985.83984375
856.4453125,-988.76953125,-464.35546875,997.0703125
-714.84375,-427.24609375,-526.3671875,-455.56640625
-903.80859375,-1000.0,-846.19140625,-1000.0
646.97265625,2.9296875,-758.7890625,311.5234375
-816.40625,-806.15234375,-375.0,-770.99609375
-41.015625,103.515625,-395.99609375,106.93359375
-1000.0,-1000.0,-824.70703125,-1000.0
-8.30078125,-253.90625,-809.08203125,-215.33203125
-759.27734375,-813.4765625,-415.52734375,-788.57421875
203.125,287.59765625,-297.36328125,225.09765625
-1000.0,-1000.0,-735.3515625,-1000.0
-275.87890625,-550.29296875,-865.72265625,-272.4609375
-811.03515625,-982.91015625,-474.609375,-826.171875
493.1640625,662.109375,-318.359375,601.07421875
-1000.0,-887.20703125,-708.49609375,-1000.0
-514.6484375,-1000.0,-874.0234375,-695.3125
-995.1171875,431.640625,-548.33984375,864.2578125
987.79296875,-894.53125,-288.57421875,-890.625
-499.0234375,-239.74609375,-586.9140625,-256.8359375
-1000.0,-1000.0,-827.63671875,-1000.0
454.58984375,-105.46875,-645.01953125,153.80859375
-781.25,-804.6875,-498.046875,-756.8359375
84.9609375,173.33984375,-623.53515625,191.89453125
-1000.0,-1000.0,-788.57421875,-1000.0
-137.20703125,-322.75390625,-682.6171875,-269.53125
-771.484375,-833.49609375,-564.94140625,-796.875
214.35546875,359.375,-594.7265625,300.29296875
-1000.0,-1000.0,-726.07421875,-1000.0
